NAME_LONG,NAME_SHORT,COUNTRY_NAME,LOCID,ABV_1,LON,LAT,ID,-,REGION
Amap� Airport,Amapa,Brazil,\N,SBAM,2.07751,-50.8582,45,S,America/Fortaleza
Araraquara Airport,Araracuara,Brazil,AQA,SBAQ,-21.81200027,-48.13299942,2334,S,America/Sao_Paulo
Santa Maria Airport,Aracaju,Brazil,AJU,SBAR,-10.98400021,-37.07030106,23,S,America/Fortaleza
Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,AFL,SBAT,-9.866389275,-56.10499954,948,S,America/Campo_Grande
Ara�atuba Airport,Aracatuba,Brazil,ARU,SBAU,-21.1413002,-50.42470169,1361,S,America/Sao_Paulo
Val de Cans/J�lio Cezar Ribeiro International Airport,Belem,Brazil,BEL,SBBE,-1.37925005,-48.47629929,54,S,America/Belem
Comandante Gustavo Kraemer Airport,Bage,Brazil,BGX,SBBG,-31.39049911,-54.11220169,600,S,America/Sao_Paulo
Pampulha - Carlos Drummond de Andrade Airport,Belo Horizonte,Brazil,PLU,SBBH,-19.8512001,-43.95059967,2589,S,America/Sao_Paulo
Bacacheri Airport,Curitiba,Brazil,BFH,SBBI,-25.40509987,-49.23199844,3057,S,America/Sao_Paulo
Major Brigadeiro Doorgal Borges Airport,Barbacena,Brazil,\N,SBBQ,-21.2672,-43.761101,3657,S,America/Sao_Paulo
Presidente Juscelino Kubistschek International Airport,Brasilia,Brazil,BSB,SBBR,-15.86916733,-47.92083359,3497,S,America/Sao_Paulo
Bauru Airport,Bauru,Brazil,BAU,SBBU,-22.34499931,-49.05379868,2025,S,America/Sao_Paulo
Atlas Brasil Cantanhede Airport,Boa Vista,Brazil,BVB,SBBV,2.841388941,-60.6922226,276,S,America/Boa_Vista
Barra do Gar�as Airport,Barra Do Garcas,Brazil,BPG,SBBW,-15.86130047,-52.38890076,1147,S,America/Campo_Grande
Cascavel Airport,Cascavel,Brazil,CAC,SBCA,-25.00029945,-53.50080109,2473,S,America/Sao_Paulo
Cachimbo Airport,Itaituba,Brazil,\N,SBCC,-9.333939552,-54.9654007,1762,S,America/Belem
Tancredo Neves International Airport,Belo Horizonte,Brazil,CNF,SBCF,-19.62444305,-43.9719429,2715,S,America/Sao_Paulo
Campo Grande Airport,Campo Grande,Brazil,CGR,SBCG,-20.46870041,-54.67250061,1833,S,America/Campo_Grande
Serafin Enoss Bertaso Airport,Chapeco,Brazil,XAP,SBCH,-27.13419914,-52.65660095,2146,S,America/Sao_Paulo
Brig. Lysias Augusto Rodrigues Airport,Carolina,Brazil,CLN,SBCI,-7.320439816,-47.45869827,565,S,America/Fortaleza
Diom�cio Freitas Airport,Criciuma,Brazil,CCM,SBCM,-28.72444344,-49.42139053,93,S,America/Sao_Paulo
Canoas Air Force Base,Porto Alegre,Brazil,\N,SBCO,-29.945928,-51.144413,26,S,America/Sao_Paulo
Bartolomeu Lisandro Airport,Campos,Brazil,CAW,SBCP,-21.69829941,-41.30170059,57,S,America/Sao_Paulo
Corumb� International Airport,Corumba,Brazil,CMG,SBCR,-19.01194382,-57.67139053,461,S,America/Campo_Grande
Afonso Pena Airport,Curitiba,Brazil,CWB,SBCT,-25.5284996,-49.17580032,2988,S,America/Sao_Paulo
Caravelas Airport,Caravelas,Brazil,CRQ,SBCV,-17.65229988,-39.25310135,36,S,America/Fortaleza
Hugo Cantergiani Regional Airport,Caxias Do Sul,Brazil,CXJ,SBCX,-29.19709969,-51.1875,2472,S,America/Sao_Paulo
Marechal Rondon Airport,Cuiaba,Brazil,CGB,SBCY,-15.65289974,-56.11669922,617,S,America/Campo_Grande
Cruzeiro do Sul Airport,Cruzeiro do Sul,Brazil,CZS,SBCZ,-7.599909782,-72.76950073,637,S,America/Rio_Branco
Presidente Prudente Airport,President Prudente,Brazil,PPB,SBDN,-22.17510033,-51.42459869,1477,S,America/Sao_Paulo
Eduardo Gomes International Airport,Manaus,Brazil,MAO,SBEG,-3.038609982,-60.04970169,264,S,America/Boa_Vista
Jacareacanga Airport,Jacare-acanga,Brazil,JCR,SBEK,-6.233160019,-57.77690125,323,S,America/Belem
S�o Pedro da Aldeia Airport,Sao Pedro Da Aldeia,Brazil,\N,SBES,-22.81290054,-42.09260178,61,S,America/Sao_Paulo
Cataratas International Airport,Foz Do Iguacu,Brazil,IGU,SBFI,-25.60027885,-54.48500061,786,S,America/Sao_Paulo
Herc�lio Luz International Airport,Florianopolis,Brazil,FLN,SBFL,-27.67027855,-48.55250168,16,S,America/Sao_Paulo
Fernando de Noronha Airport,Fernando Do Noronha,Brazil,FEN,SBFN,-3.85493,-32.423302,193,S,America/Fortaleza
Furnas Airport,Alpinopolis,Brazil,\N,SBFU,-20.70280075,-46.33530045,2413,S,America/Sao_Paulo
Pinto Martins International Airport,Fortaleza,Brazil,FOR,SBFZ,-3.776279926,-38.5326004,82,S,America/Fortaleza
Rio Gale�o � Tom Jobim International Airport,Rio De Janeiro,Brazil,GIG,SBGL,-22.80999947,-43.25055695,28,S,America/Sao_Paulo
Guajar�-Mirim Airport,Guajara-mirim,Brazil,GJM,SBGM,-10.78639984,-65.28479767,478,S,America/Boa_Vista
Santa Genoveva Airport,Goiania,Brazil,GYN,SBGO,-16.63199997,-49.22069931,2450,S,America/Sao_Paulo
EMBRAER - Unidade Gavi�o Peixoto Airport,Macae,Brazil,\N,SBGP,-21.77370071,-48.40510178,1998,S,America/Sao_Paulo
Guarulhos - Governador Andr� Franco Montoro International Airport,Sao Paulo,Brazil,GRU,SBGR,-23.43555641,-46.47305679,2459,S,America/Sao_Paulo
Guaratinguet� Airport,Guaratingueta,Brazil,GUJ,SBGW,-22.79159927,-45.20479965,1761,S,America/Sao_Paulo
Altamira Airport,Altamira,Brazil,ATM,SBHT,-3.253910065,-52.25400162,369,S,America/Belem
Itacoatiara Airport,Itaituba,Brazil,ITA,SBIC,-3.12725997,-58.48120117,142,S,America/Boa_Vista
Itaituba Airport,Itaituba,Brazil,ITB,SBIH,-4.242340088,-56.0007019,110,S,America/Belem
Bahia - Jorge Amado Airport,Ilheus,Brazil,IOS,SBIL,-14.81599998,-39.03319931,15,S,America/Fortaleza
Usiminas Airport,Ipatinga,Brazil,IPN,SBIP,-19.47069931,-42.48759842,784,S,America/Sao_Paulo
Francisco Vilela do Amaral Airport,Itumbiara,Brazil,ITR,SBIT,-18.44470024,-49.21340179,1630,S,America/Sao_Paulo
Prefeito Renato Moreira Airport,Imperatriz,Brazil,IMP,SBIZ,-5.53129,-47.459999,432,S,America/Fortaleza
Bel�m/Brigadeiro Prot�sio de Oliveira Airport,Belem,Brazil,\N,SBJC,-1.414160013,-48.46070099,52,S,America/Belem
Francisco de Assis Airport,Juiz De Fora,Brazil,JDF,SBJF,-21.79150009,-43.38679886,2989,S,America/Sao_Paulo
Presidente Castro Pinto International Airport,Joao Pessoa,Brazil,JPA,SBJP,-7.145833015,-34.94861221,217,S,America/Fortaleza
Lauro Carneiro de Loyola Airport,Joinville,Brazil,JOI,SBJV,-26.22450066,-48.79740143,15,S,America/Sao_Paulo
Presidente Jo�o Suassuna Airport,Campina Grande,Brazil,CPV,SBKG,-7.26992,-35.8964,1646,S,America/Fortaleza
Viracopos International Airport,Campinas,Brazil,VCP,SBKP,-23.00740051,-47.1344986,2170,S,America/Sao_Paulo
Lages Airport,Lajes,Brazil,LAJ,SBLJ,-27.78210068,-50.28150177,3065,S,America/Sao_Paulo
Lins Airport,Lins,Brazil,LIP,SBLN,-21.66399956,-49.73049927,1559,S,America/Sao_Paulo
Governador Jos� Richa Airport,Londrina,Brazil,LDB,SBLO,-23.33359909,-51.13010025,1867,S,America/Sao_Paulo
Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,Brazil,LAZ,SBLP,-13.26210022,-43.40810013,1454,S,America/Fortaleza
Lagoa Santa Airport,Lagoa Santa,Brazil,\N,SBLS,-19.66160011,-43.89640045,2795,S,America/Sao_Paulo
Jo�o Correa da Rocha Airport,Maraba,Brazil,MAB,SBMA,-5.368589878,-49.13800049,357,S,America/Belem
Monte Dourado Airport,Almeirim,Brazil,MEU,SBMD,-0.889839,-52.6022,677,S,America/Belem
Regional de Maring� - S�lvio Nane Junior Airport,Maringa,Brazil,MGF,SBMG,-23.4794445,-52.01222229,1788,S,America/Sao_Paulo
M�rio Ribeiro Airport,Montes Claros,Brazil,MOC,SBMK,-16.70689964,-43.81890106,2191,S,America/Sao_Paulo
Ponta Pelada Airport,Manaus,Brazil,PLL,SBMN,-3.146039963,-59.98630142,267,S,America/Boa_Vista
Zumbi dos Palmares Airport,Maceio,Brazil,MCZ,SBMO,-9.510809898,-35.79169846,387,S,America/Fortaleza
Alberto Alcolumbre Airport,Macapa,Brazil,MCP,SBMQ,0.050664,-51.07220078,56,S,America/Fortaleza
Dix-Sept Rosado Airport,Mocord,Brazil,MVF,SBMS,-5.201920032,-37.36429977,76,S,America/Fortaleza
Campo de Marte Airport,Sao Paulo,Brazil,\N,SBMT,-23.50909996,-46.63779831,2368,S,America/Sao_Paulo
Manicor� Airport,Manicore,Brazil,MNX,SBMY,-5.81137991,-61.27830124,174,S,America/Boa_Vista
Ministro Victor Konder International Airport,Navegantes,Brazil,NVT,SBNF,-26.879999,-48.651402,18,S,America/Sao_Paulo
Santo �ngelo Airport,Santo Angelo,Brazil,GEL,SBNM,-28.2817,-54.169102,1056,S,America/Sao_Paulo
Governador Alu�zio Alves International Airport,Natal,Brazil,NAT,SBSG,-5.768056,-35.376111,272,S,America/Fortaleza
Oiapoque Airport,Oioiapoque,Brazil,OYK,SBOI,3.855489969,-51.7969017,63,S,America/Fortaleza
Salgado Filho Airport,Porto Alegre,Brazil,POA,SBPA,-29.99440002,-51.17139816,11,S,America/Sao_Paulo
Prefeito Doutor Jo�o Silva Filho Airport,Parnaiba,Brazil,PHB,SBPB,-2.893749952,-41.73199844,16,S,America/Fortaleza
Po�os de Caldas - Embaixador Walther Moreira Salles Airport,Pocos De Caldas,Brazil,POO,SBPC,-21.84300041,-46.56790161,4135,S,America/Sao_Paulo
Lauro Kurtz Airport,Passo Fundo,Brazil,PFB,SBPF,-28.243999,-52.326599,2376,S,America/Sao_Paulo
Jo�o Sim�es Lopes Neto International Airport,Pelotas,Brazil,PET,SBPK,-31.718399,-52.327702,59,S,America/Sao_Paulo
Senador Nilo Coelho Airport,Petrolina,Brazil,PNZ,SBPL,-9.362409592,-40.56909943,1263,S,America/Fortaleza
Porto Nacional Airport,Porto Nacional,Brazil,PNB,SBPN,-10.71940041,-48.39970016,870,S,America/Fortaleza
Ponta Por� Airport,Ponta Pora,Brazil,PMG,SBPP,-22.5496006,-55.70259857,2156,S,America/Campo_Grande
Governador Jorge Teixeira de Oliveira Airport,Porto Velho,Brazil,PVH,SBPV,-8.709289551,-63.90230179,290,S,America/Boa_Vista
Pl�cido de Castro Airport,Rio Branco,Brazil,RBR,SBRB,-9.868888855,-67.89805603,633,S,America/Rio_Branco
Guararapes - Gilberto Freyre International Airport,Recife,Brazil,REC,SBRF,-8.126489639,-34.92359924,33,S,America/Fortaleza
Santos Dumont Airport,Rio De Janeiro,Brazil,SDU,SBRJ,-22.91049957,-43.1631012,11,S,America/Sao_Paulo
Leite Lopes Airport,Ribeirao Preto,Brazil,RAO,SBRP,-21.13638878,-47.77666855,1806,S,America/Sao_Paulo
Santa Cruz Air Force Base,Rio De Janeiro,Brazil,SNZ,SBSC,-22.9324,-43.719101,10,S,America/Sao_Paulo
Professor Urbano Ernesto Stumpf Airport,Sao Jose Dos Campos,Brazil,SJK,SBSJ,-23.22920036,-45.86149979,2120,S,America/Sao_Paulo
Marechal Cunha Machado International Airport,Sao Luis,Brazil,SLZ,SBSL,-2.58536005,-44.23410034,178,S,America/Fortaleza
Congonhas Airport,Sao Paulo,Brazil,CGH,SBSP,-23.62611008,-46.65638733,2631,S,America/Sao_Paulo
Prof. Eribelto Manoel Reino State Airport,Sao Jose Do Rio Preto,Brazil,SJP,SBSR,-20.8166008,-49.40650177,1784,S,America/Sao_Paulo
Base A�rea de Santos Airport,Santos,Brazil,SSZ,SBST,-23.92805672,-46.29972076,10,S,America/Sao_Paulo
Deputado Luiz Eduardo Magalh�es International Airport,Salvador,Brazil,SSA,SBSV,-12.9086113,-38.32249832,64,S,America/Fortaleza
Trombetas Airport,Oriximina,Brazil,TMT,SBTB,-1.489599943,-56.39680099,287,S,America/Belem
Senador Petr�nio Portela Airport,Teresina,Brazil,THE,SBTE,-5.059939861,-42.82350159,219,S,America/Fortaleza
Tef� Airport,Tefe,Brazil,TFF,SBTF,-3.382940054,-64.72409821,188,S,America/Boa_Vista
Tarauac� Airport,Tarauaca,Brazil,TRQ,SBTK,-8.155260086,-70.78330231,646,S,America/Rio_Branco
Tel�maco Borba Airport,Telemaco Borba,Brazil,TEC,SBTL,-24.31780052,-50.65159988,2610,S,America/Sao_Paulo
Tiri�s Airport,Obidos Tirios,Brazil,\N,SBTS,2.22347,-55.946098,1127,S,America/Belem
Tabatinga Airport,Tabatinga,Brazil,TBT,SBTT,-4.255670071,-69.93579865,279,S,America/Boa_Vista
Tucuru� Airport,Tucurui,Brazil,TUR,SBTU,-3.786010027,-49.72029877,830,S,America/Belem
S�o Gabriel da Cachoeira Airport,Sao Gabriel,Brazil,SJL,SBUA,-0.14835,-66.9855,251,S,America/Boa_Vista
Paulo Afonso Airport,Paulo Alfonso,Brazil,PAV,SBUF,-9.40087986,-38.25059891,883,S,America/Fortaleza
Rubem Berta Airport,Uruguaiana,Brazil,URG,SBUG,-29.78219986,-57.03820038,256,S,America/Sao_Paulo
Ten. Cel. Aviador C�sar Bombonato Airport,Uberlandia,Brazil,UDI,SBUL,-18.883612,-48.225277,3094,S,America/Sao_Paulo
M�rio de Almeida Franco Airport,Uberaba,Brazil,UBA,SBUR,-19.76472282,-47.96611023,2655,S,America/Sao_Paulo
Major Brigadeiro Trompowsky Airport,Varginha,Brazil,VAG,SBVG,-21.59009933,-45.47330093,3025,S,America/Sao_Paulo
Brigadeiro Camar�o Airport,Vilhena,Brazil,BVH,SBVH,-12.69439983,-60.09830093,2018,S,America/Boa_Vista
Eurico de Aguiar Salles Airport,Vitoria,Brazil,VIX,SBVT,-20.258057,-40.286388,11,S,America/Sao_Paulo
Iauaret� Airport,Iauarete,Brazil,\N,SBYA,0.607500017,-69.18579865,345,S,America/Boa_Vista
Campo Fontenelle Airport,Piracununga,Brazil,QPS,SBYS,-21.98460007,-47.33480072,1968,S,America/Sao_Paulo
Chacalluta Airport,Arica,Chile,ARI,SCAR,-18.348499,-70.338699,167,S,America/Santiago
Balmaceda Airport,Balmaceda,Chile,BBA,SCBA,-45.91609955,-71.6894989,1722,S,America/Santiago
El Bosque Airport,Santiago,Chile,\N,SCBQ,-33.5617981,-70.68840027,1844,S,America/Santiago
Chile Chico Airport,Chile Chico,Chile,CCH,SCCC,-46.58330154,-71.68740082,1070,S,America/Santiago
El Loa Airport,Calama,Chile,CJC,SCCF,-22.49819946,-68.9036026,7543,S,America/Santiago
Gral. Bernardo O�Higgins Airport,Chillan,Chile,YAI,SCCH,-36.58250046,-72.03140259,495,S,America/Santiago
Pdte. Carlos Iba�ez del Campo Airport,Punta Arenas,Chile,PUQ,SCCI,-53.002602,-70.854599,139,S,America/Santiago
Teniente Vidal Airport,Coyhaique,Chile,GXQ,SCCY,-45.59420013,-72.10610199,1020,S,America/Santiago
Diego Aracena Airport,Iquique,Chile,IQQ,SCDA,-20.53520012,-70.1812973,155,S,America/Santiago
Comodoro Arturo Merino Ben�tez International Airport,Santiago,Chile,SCL,SCEL,-33.39300156,-70.78579712,1555,S,America/Santiago
Andr�s Sabella G�lvez International Airport,Antofagasta,Chile,ANF,SCFA,-23.444501,-70.445099,455,S,America/Santiago
Capitan Fuentes Martinez Airport Airport,Porvenir,Chile,WPR,SCFM,-53.25370026,-70.31919861,104,S,America/Santiago
Futaleuf� Airport,Futaleufu,Chile,FFU,SCFT,-43.18920135,-71.85109711,1148,S,America/Santiago
Mar�a Dolores Airport,Los Angeles,Chile,LSQ,SCGE,-37.40169907,-72.42539978,374,S,America/Santiago
Guardiamarina Za�artu Airport,Puerto Williams,Chile,WPU,SCGZ,-54.93109894,-67.626297,88,S,America/Santiago
Carriel Sur Airport,Concepcion,Chile,CCP,SCIE,-36.772701,-73.063103,26,S,America/Santiago
Mataveri Airport,Easter Island,Chile,IPC,SCIP,-27.16480064,-109.4219971,227,S,Pacific/Easter
Ca�al Bajo Carlos - Hott Siebert Airport,Osorno,Chile,ZOS,SCJO,-40.61119843,-73.06099701,187,S,America/Santiago
Vallenar Airport,Vallenar,Chile,VLR,SCLL,-28.59639931,-70.7559967,1725,S,America/Santiago
De La Independencia Airport,Rancagua,Chile,QRC,SCRG,-34.17369843,-70.77570343,1446,S,America/Santiago
Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,Antarctica,TNM,SCRM,-62.19079971,-58.98669815,147,U,Antarctica/South_Pole
La Florida Airport,La Serena,Chile,LSC,SCSE,-29.916201,-71.199501,481,S,America/Santiago
Eulogio S�nchez Airport,Santiago,Chile,\N,SCTB,-33.45629883,-70.54669952,2129,S,America/Santiago
Maquehue Airport,Temuco,Chile,PZS,SCTC,-38.76679993,-72.63710022,304,S,America/Santiago
El Tepual Airport,Puerto Montt,Chile,PMC,SCTE,-41.43889999,-73.09400177,294,S,America/Santiago
Chait�n Airport,Chaiten,Chile,WCH,SCTN,-42.93280029,-72.69909668,13,S,America/Santiago
Pichoy Airport,Valdivia,Chile,ZAL,SCVD,-39.65000153,-73.08609772,59,S,America/Santiago
Chacho�n Airport,Ambato,Ecuador,ATF,SEAM,-1.212069988,-78.57460022,8502,U,America/Guayaquil
Hacienda Clementina Airport,Clementia,Ecuador,\N,SECM,-1.706269979,-79.37889862,328,U,America/Guayaquil
Francisco De Orellana Airport,Coca,Ecuador,OCC,SECO,-0.462886006,-76.98680115,834,U,America/Guayaquil
Mariscal Lamar Airport,Cuenca,Ecuador,CUE,SECU,-2.88947,-78.984398,8306,U,America/Guayaquil
Seymour Airport,Galapagos,Ecuador,GPS,SEGS,-0.453758001,-90.26589966,207,U,Pacific/Galapagos
Jos� Joaqu�n de Olmedo International Airport,Guayaquil,Ecuador,GYE,SEGU,-2.15741992,-79.88359833,19,U,America/Guayaquil
Gualaquiza Airport,Gualaquiza,Ecuador,\N,SEGZ,-3.423209906,-78.56700134,2640,U,America/Guayaquil
Atahualpa Airport,Ibarra,Ecuador,\N,SEIB,0.33841899,-78.13639832,7304,U,America/Guayaquil
Km 192 Airport,Km-192,Ecuador,\N,SEKK,0.184202999,-79.39199829,1247,U,America/Guayaquil
Hacienda La Julia Airport,La Julia,Ecuador,\N,SELJ,-1.704380035,-79.5522995,50,U,America/Guayaquil
Cotopaxi International Airport,Latacunga,Ecuador,LTX,SELT,-0.906833,-78.615799,9205,U,America/Guayaquil
Jose Maria Velasco Ibarra Airport,Macara,Ecuador,MRR,SEMA,-4.378230095,-79.94100189,1508,U,America/Guayaquil
Coronel E Carvajal Airport,Macas,Ecuador,XMS,SEMC,-2.299170017,-78.1207962,3452,U,America/Guayaquil
General Manuel Serrano Airport,Machala,Ecuador,MCH,SEMH,-3.2689,-79.961601,11,U,America/Guayaquil
El Carmen Airport,Montalvo,Ecuador,\N,SEMO,-2.067009926,-76.97570038,960,U,America/Guayaquil
Eloy Alfaro International Airport,Manta,Ecuador,MEC,SEMT,-0.946078002,-80.67880249,48,U,America/Guayaquil
Maragrosa Airport,Maragrosa,Ecuador,\N,SEMX,-2.851099968,-79.8035965,18,U,America/Guayaquil
Amable Calle Gutierrez Airport,Pasaje,Ecuador,\N,SEPS,-3.319669962,-79.76920319,22,U,America/Guayaquil
Reales Tamarindos Airport,Portoviejo,Ecuador,PVO,SEPV,-1.041650057,-80.47219849,130,U,America/Guayaquil
Quevedo Airport,Quevedo,Ecuador,\N,SEQE,-0.989400029,-79.46510315,350,U,America/Guayaquil
Mariscal Sucre International Airport,Quito,Ecuador,UIO,SEQM,-0.129166667,-78.3575,7841,U,America/Guayaquil
Chimborazo Airport,Riobamba,Ecuador,\N,SERB,-1.653429985,-78.65609741,9151,U,America/Guayaquil
Santa Rosa International Airport,Santa Rosa,Ecuador,ETR,SERO,-3.441986,-79.996957,20,U,America/Guayaquil
General Ulpiano Paez Airport,Salinas,Ecuador,SNC,SESA,-2.20499,-80.988899,18,U,America/Guayaquil
Santo Domingo de Los Colorados Airport,Santo Domingo,Ecuador,\N,SESD,-0.248221993,-79.21440125,1714,U,America/Guayaquil
Taura Airport,Taura,Ecuador,\N,SETA,-2.261039972,-79.68019867,56,U,America/Guayaquil
